# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Jun 27 11:01:59 BST 2022 [seed=1656324105891]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa1	kappa2	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
10000	-43326.795783148875	-315.82374575736736	-43010.972037391504	1.4309801262611812	2020.9717595997663	26.830949397879962	4.735270096117174	1.9971713736422942	6.822410635499968	0.29832720438495713	0.1794516013296663	0.19988395722815086	0.32233723705722556	0.0228467474961945	3.963454958688006E-4	3.963454958688001E-4	-43010.972037391504	0.0	-317.4897996661748
11000	-43280.0198397404	-313.33882857352035	-42966.68101116688	1.366584831370464	2021.0361548946569	26.370412743777834	5.094991450738528	1.8955939592361761	6.76626384934117	0.29940501681040643	0.18309201506977657	0.19271509139453458	0.3247878767252823	0.060330515888762565	3.7907675901591994E-4	3.790767590159198E-4	-42966.68101116688	0.0	-314.90026023555356
12000	-43188.81949696201	-315.9666375577652	-42872.852859404244	1.312614785488061	2021.0901249405395	26.08609609522473	5.408364226086848	2.8504770789198237	8.33690909254515	0.29940501681040643	0.18309201506977657	0.1953845949034135	0.3221183732164034	0.049203765812690065	3.477509830923946E-4	3.477509830923943E-4	-42872.852859404244	0.0	-316.75907689543715
13000	-43152.522657005415	-314.51059161564723	-42838.01206538977	1.524063278107572	2020.8786764479198	26.697005751048096	5.298780252379945	2.7668525445466607	6.46371183969024	0.29740756056625917	0.184542217367874	0.1956040731090322	0.32244614895683454	0.05629156784421048	3.671130310826245E-4	3.6711303108262467E-4	-42838.01206538977	0.0	-315.76845849980106
14000	-43131.19693712031	-308.25654597743085	-42822.940391142874	1.0793794643500116	2021.3233602616774	25.284408289375364	5.69969496916845	3.482215525927551	8.036401834110157	0.29874325157436776	0.1805259162541424	0.20014365967193576	0.320587172499554	0.06056879695339359	3.7425932856372597E-4	3.742593285637257E-4	-42822.940391142874	0.0	-308.8342490616071
15000	-43098.318619484584	-310.78779030496395	-42787.53082917962	1.1334173338994964	2021.269322392128	26.702618279099248	4.888760813806433	2.642997509457805	6.031151015770082	0.30020836714651533	0.17906080068199484	0.20014365967193576	0.320587172499554	0.047740407728929804	3.100360515514707E-4	3.100360515514707E-4	-42787.53082917962	0.0	-312.25731932254797
16000	-43074.48312907387	-306.00663462956413	-42768.47649444431	1.1124908623942855	2021.2902488636332	26.283528147315135	5.252368317720147	2.452371995141312	6.302051395098686	0.2956717500162749	0.18261340608489143	0.20014365967193576	0.32157118422689784	0.05156730290987826	3.489417288391514E-4	3.489417288391516E-4	-42768.47649444431	0.0	-307.4276106339608
17000	-43013.52119610087	-301.3563277787165	-42712.16486832215	1.0619274780974255	2021.34081224793	25.898110252018718	4.709494310791832	2.6244418818336834	5.405622253316884	0.300071121337361	0.1811964466471036	0.19739894524974244	0.3213334867657929	0.06157305015055394	2.95376595373653E-4	2.95376595373653E-4	-42712.16486832215	0.0	-302.99374088009534
18000	-42993.87377303147	-300.30640471500067	-42693.567368316464	1.1089211854559577	2021.2938185405715	25.458941028756083	4.254486672296469	2.3309580083025874	6.978313938308659	0.2990585806872774	0.18379499141771952	0.19695745812139043	0.3201889697736126	0.09152573316019827	3.426351360283038E-4	3.426351360283039E-4	-42693.567368316464	0.0	-301.7405361562385
19000	-42978.955646903276	-300.571516674206	-42678.38413022907	1.08880951057187	2021.3139302154557	25.104721100520994	5.393848223674681	2.0636870632156334	5.574699876138536	0.2990585806872774	0.18402709270851553	0.1944287083067017	0.3224856182975053	0.07694890975244394	2.887936069134595E-4	2.887936069134594E-4	-42678.38413022907	0.0	-302.20966642102013
20000	-42967.3044864556	-285.6251742798076	-42681.679312175795	1.209828132422019	2021.1929115936055	24.040984612583188	4.2711049368637	2.112932909828222	6.008072432815138	0.3016200458463845	0.18211125084675442	0.1912479403354114	0.32502076297144966	0.061543066382245395	3.684213646270695E-4	3.6842136462706955E-4	-42681.679312175795	0.0	-287.45030853173097
21000	-42963.52410866249	-287.4577520387656	-42676.06635662372	1.3373372331460616	2021.0654024928813	24.5045551743649	4.188689181397546	2.445131855914826	6.079521173405384	0.2925280043860669	0.18211125084675442	0.19890375333617988	0.32645699143099877	0.08930561883387632	3.522867677365142E-4	3.522867677365143E-4	-42676.06635662372	0.0	-289.0893561130157
22000	-42929.014705428264	-280.37432624278625	-42648.640379185475	1.146282026156334	2021.2564576998711	23.575382127629947	4.169641565711846	1.9826573467205357	5.907442379576999	0.2994608457265622	0.17881130517615926	0.1996880151126472	0.3220398339846313	0.10763839819912882	3.4357978114927916E-4	3.435797811492794E-4	-42648.640379185475	0.0	-282.1927701086314
23000	-42910.784035885416	-283.93718910416186	-42626.846846781256	1.0681100903647993	2021.3346296356626	23.747277691813053	4.25215466308001	1.656632656500671	7.115505306637412	0.29829646266718235	0.1819821833212432	0.19267867370113217	0.32704268031044226	0.06153351704207852	3.2432895183498694E-4	3.243289518349873E-4	-42626.846846781256	0.0	-285.65889261680974
24000	-42885.51252022673	-282.65804039446886	-42602.85447983226	1.2634524691164464	2021.139287256911	24.004897475081258	4.3416645963453115	3.3141219987149797	6.963223225930441	0.29829646266718235	0.18411343900350385	0.19383883912931404	0.3237512591999997	0.06266353552739501	4.0723871470030093E-4	4.0723871470030125E-4	-42602.85447983226	0.0	-283.81654197099687
25000	-42862.52818584855	-282.51986338565024	-42580.0083224629	1.0353343176193572	2021.367405408408	23.093481645333743	4.031469181042008	2.8607162618618123	6.796208847573271	0.3008449453529203	0.1848211854933663	0.19235582171509844	0.32197804743861497	0.05013231804244961	3.5737420181436083E-4	3.5737420181436105E-4	-42580.0083224629	0.0	-283.9443133828053
26000	-42855.92391429919	-285.63383126183555	-42570.29008303735	1.1797980662564156	2021.222941659771	23.39866725701665	4.197657352667746	2.053555337383563	7.203731619772096	0.2991000692474712	0.1848211854933663	0.19235582171509844	0.32372292354406407	0.06617785550962808	3.424782535638064E-4	3.424782535638062E-4	-42570.29008303735	0.0	-287.1898081791203
27000	-42805.909247128264	-280.06784664777774	-42525.84140048049	1.2423681865604357	2021.160371539467	23.590394090941977	4.055117385269123	2.505740661218063	6.784887707059819	0.3008631725661633	0.17977392066048234	0.19572845482626366	0.3236344519470906	0.06778654395855592	3.517160869768856E-4	3.517160869768858E-4	-42525.84140048049	0.0	-281.58133265777957
28000	-42806.51170516535	-279.9037804861341	-42526.607924679214	1.250058134260212	2021.1526815917673	22.98751984252479	3.8164602895974067	2.6492088864564924	6.816515614436695	0.29996602275866857	0.17877038305594872	0.1981029139525567	0.32316068023282596	0.027009466891131987	3.52024473532341E-4	3.5202447353234077E-4	-42526.607924679214	0.0	-281.49852906117826
29000	-42805.19264823876	-282.79141472967837	-42522.40123350908	1.140150688376147	2021.2625890376512	23.452489704441657	4.1938914188039815	2.224248798831316	7.241271383285447	0.3018203078618578	0.17877038305594872	0.1981029139525567	0.3213063951296367	0.025417438224257707	3.3122274294989203E-4	3.3122274294989187E-4	-42522.40123350908	0.0	-284.346341260941
30000	-42777.435070933825	-273.0995611507803	-42504.33550978304	1.1344965508156397	2021.2682431752119	22.650880742087434	3.8083207506008607	3.1104961830775655	6.8000048444543255	0.3018203078618578	0.18379378755793757	0.19307950945056784	0.3213063951296367	0.05320900963706548	3.6319765949266203E-4	3.6319765949266187E-4	-42504.33550978304	0.0	-274.48895091523303
31000	-42757.69828467843	-276.364811256632	-42481.3334734218	1.0557868797843788	2021.346952846243	22.127059022371455	4.285431899522589	3.1571090784220437	6.138545436793147	0.2980014162493031	0.17933961835407364	0.19307950945056784	0.32957945594605537	0.053358622183069145	3.6505047712518925E-4	3.650504771251891E-4	-42481.3334734218	0.0	-277.77985650931333
32000	-42731.49884177596	-276.6333242770287	-42454.86551749893	1.054523381411854	2021.3482163446156	21.928645819667643	3.749227149566466	2.801035456321586	6.36530951574764	0.2980014162493031	0.18099627000823493	0.19350130117263703	0.3275010125698249	0.04514937933115206	3.199712233523202E-4	3.1997122335232E-4	-42454.86551749893	0.0	-278.239759791774
33000	-42721.53786493042	-262.166785650538	-42459.37107927988	1.074025248362702	2021.3287144776648	20.962561188724802	3.4893231051827858	2.020762113853547	5.7751892476158755	0.3023247166262759	0.18099627000823493	0.1943169836768491	0.32236202968864003	0.06539599400502025	3.748220073604313E-4	3.748220073604315E-4	-42459.37107927988	0.0	-264.2862745020837
34000	-42710.428440095566	-261.9381961687435	-42448.49024392682	1.0044614510398944	2021.3982782749877	20.732437895704447	3.7731102664638545	3.8696488729900964	7.278962995784686	0.30025269849413966	0.18258318449089778	0.1948017631025303	0.3223623539124323	0.0918189282836832	3.4291013994804283E-4	3.429101399480428E-4	-42448.49024392682	0.0	-262.88455935163137
35000	-42691.325701235495	-250.6088243357174	-42440.71687689978	0.9890897315639452	2021.4136499944634	19.874700608351944	3.0367523879601275	2.2663803070051336	9.032365402749651	0.30025269849413966	0.18258318449089778	0.1948017631025303	0.3223623539124323	0.058259509400679144	3.522978263137329E-4	3.5229782631373315E-4	-42440.71687689978	0.0	-252.043068513873
36000	-42693.68220435061	-255.77656187196735	-42437.90564247865	1.009694229099268	2021.3930454969282	19.941234683461808	3.850374102488615	2.6058303652316455	7.01316607840042	0.30025269849413966	0.1839308629141157	0.19588473398120612	0.31993170461053855	0.10901750763312522	3.366013216757003E-4	3.3660132167570025E-4	-42437.90564247865	0.0	-257.1590514015553
37000	-42705.64163997555	-258.5640201728115	-42447.07761980274	1.0379414907118176	2021.3647982353157	20.595042389684657	3.422334156569545	2.4530800179996106	4.91775213419357	0.30102470108364515	0.18132140866163637	0.19849418823368545	0.31915970202103305	0.09314243606422991	3.4039717413454634E-4	3.403971741345465E-4	-42447.07761980274	0.0	-260.6861480534779
