# BEAST v1.8.1, r6542
# Generated Wed Feb 11 17:06:25 GMT 2015 [seed=1423674359309]
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	clock.rate	CP1+2.treeLikelihood	CP3.treeLikelihood	coalescent
14000	-12861.942331364558	-540.7571656150456	-12321.185165749514	34.313746232961485	111.51979026718848	5.873912430684716	5.596370296467322	0.2769593727053884	0.21176405854166402	0.2486185640066309	0.26265800474631673	0.13925643986998434	1.5910031707638526	0.543481915846558	1.913036168306884	0.0017043531502110123	-5363.107277761983	-6958.077887987531	-525.5247567637567
15000	-12738.218422324471	-543.1140975267627	-12195.104324797709	35.436767622289125	119.56017608076584	5.873912430684716	6.756976787011288	0.28297210084331736	0.20575133040373506	0.2486185640066309	0.26265800474631673	0.13925643986998434	1.6880775734438247	0.543481915846558	1.913036168306884	0.0016373613518924066	-5312.18134215489	-6882.922982642818	-527.3136659290901
16000	-12672.149951779162	-534.2555559252891	-12137.894395853873	31.458563024806462	88.56520871541544	6.176638609146647	8.057479289564771	0.28297210084331736	0.20575133040373506	0.2486185640066309	0.26265800474631673	0.13925643986998434	1.6880775734438247	0.5907258580928201	1.8185482838143598	0.0017948830961774663	-5303.65522497241	-6834.239170881464	-518.4308131633302
17000	-12645.090106682053	-525.6781014072028	-12119.412005274851	30.883712217295837	104.85933504063568	6.176638609146647	10.443488776535633	0.28297210084331736	0.20575133040373506	0.2486185640066309	0.26265800474631673	0.18005619857740413	1.6880775734438247	0.5865448281343102	1.8269103437313796	0.0018675515607757607	-5294.710509377814	-6824.701495897038	-509.1591054721373
18000	-12619.391248263999	-523.2116597350122	-12096.179588528987	29.817255292770827	115.5774444188607	6.176638609146647	10.443488776535633	0.28297210084331736	0.20575133040373506	0.2486185640066309	0.26265800474631673	0.18396473092135382	1.5596524650137458	0.5865448281343102	1.8269103437313796	0.0019007399786743935	-5287.32011759773	-6808.859470931257	-506.8521783463926
19000	-12597.949219646005	-520.4405373249932	-12077.508682321011	27.358193001543416	112.50598531683029	6.176638609146647	13.285553522237763	0.2842535922613086	0.20575133040373506	0.2473370725886397	0.26265800474631673	0.18396473092135382	1.5596524650137458	0.6179709004437498	1.7640581991125004	0.0018938445528487525	-5290.214448553086	-6787.294233767926	-503.6397972588317
20000	-12585.938798346442	-510.87732902258466	-12075.061469323857	29.839269694949298	84.22342540717406	6.176638609146647	11.788118193257302	0.2842535922613086	0.20575133040373506	0.2473370725886397	0.26265800474631673	0.14512974268041615	1.5596524650137458	0.5443141238605937	1.9113717522788125	0.0020291825326533373	-5279.698459007439	-6795.363010316418	-494.71089061340865
21000	-12567.556174217534	-501.931132230192	-12065.625041987341	28.158917590642808	75.43871857422482	6.176638609146647	11.788118193257302	0.28461676244405254	0.20575133040373506	0.2473370725886397	0.2622948345635728	0.14512974268041615	1.5596524650137458	0.5714299565381684	1.8571400869236632	0.0019964759635278943	-5261.828940202343	-6803.796101784998	-485.8676247587285
22000	-12546.258071631288	-501.8528488504667	-12044.40522278082	25.21836742488408	75.52128885454063	5.149708185013085	11.788118193257302	0.28461676244405254	0.20575133040373506	0.2473370725886397	0.2622948345635728	0.14512974268041615	1.5596524650137458	0.5456876681848145	1.9086246636303712	0.0021278371729931355	-5267.723918474017	-6776.681304306802	-486.08330205686906
23000	-12544.942677340498	-504.4009440026541	-12040.541733337843	27.93982035016277	74.61001188493334	5.149708185013085	11.788118193257302	0.28461676244405254	0.20575133040373506	0.2473370725886397	0.2622948345635728	0.14512974268041615	1.8145830977934567	0.5646246000956736	1.870750799808653	0.0020281049121731814	-5269.1167077905075	-6771.425025547334	-488.1123771265575
