traits	Host	Region	lat	lon
AIY54960|Dom-gal|SouthEasternAsia|A/chicken/Viet_Nam/TMU016/2008|2008.304	Dom-gal	SouthEasternAsia	14.058324	108.277199
BAL61220|Dom-gal|SouthEasternAsia|A/chicken/South_Kalimantan/UT521/2010|2010.534	Dom-gal	SouthEasternAsia	-3.0926415	115.2837585
BAN28804|Dom-gal|SouthEasternAsia|A/chicken/Soc_Trang/4/2012|2012.430	Dom-gal	SouthEasternAsia	9.6003688	105.9599539
ACZ81491|Dom-ans|SouthernAsia|A/goose/Tripura/103596/2008|2008.247	Dom-ans	SouthernAsia	23.9408482	91.9881527
AEX91681|Dom-ans|SouthernAsia|A/duck/India/02CA10/2011|2011.123	Dom-ans	SouthernAsia	20.593684	78.96288
AGZ62382|Dom-ans|SouthernAsia|A/duck/Bangladesh/19097/2013|2013.121	Dom-ans	SouthernAsia	23.684994	90.356331
AHC69260|Dom-ans|SouthernAsia|A/duck/Bangladesh/17753/2012|2012.559	Dom-ans	SouthernAsia	23.684994	90.356331
ACZ81582|Dom-gal|SouthernAsia|A/chicken/West_Bengal/155505/2009|2009.038	Dom-gal	SouthernAsia	22.9867569	87.8549755
ADG85801|Dom-gal|SouthernAsia|A/chicken/Lahore/NARC-3320/2006|2006.293	Dom-gal	SouthernAsia	31.5546061	74.3571581
ADO65940|Dom-gal|SouthernAsia|A/chicken/West_Bengal/239020/2010|2010.030	Dom-gal	SouthernAsia	22.9867569	87.8549755
AEC33241|Dom-gal|SouthernAsia|A/chicken/Pakistan-Lhr/NARC-610/2008|2008.266	Dom-gal	SouthernAsia	31.5546061	74.3571581
AFO82813|Dom-gal|SouthernAsia|A/chicken/India/03CL488/2011|2011.173	Dom-gal	SouthernAsia	20.593684	78.96288
AHY20770|Dom-gal|SouthernAsia|A/chicken/Bhutan/298/2012|2012.112	Dom-gal	SouthernAsia	27.514162	90.433601
AIL24808|Dom-gal|SouthernAsia|A/chicken/Bangladesh/14VIR2665-21/2014|2014.186	Dom-gal	SouthernAsia	23.684994	90.356331
ADB25911|Dom-ans|Africa|A/goose/Nigeria/08RS848-56/2007|2007.027	Dom-ans	Africa	9.081999	8.675277
ADB25548|Dom-gal|Africa|A/chicken/Nigeria/08RS848-110/2007|2007.666	Dom-gal	Africa	9.081999	8.675277
ADB25746|Dom-gal|Africa|A/chicken/Nigeria/08RS848-33/2006|2006.545	Dom-gal	Africa	9.081999	8.675277
ADI58758|Dom-gal|Africa|A/chicken/Israel/65/2010|2010.066	Dom-gal	Africa	31.046051	34.851612
AEN68621|Dom-gal|Africa|A/turkey/Jenin/341/2011|2011.164	Dom-gal	Africa	32.462068	35.302535
ACX48039|Wild-ans|Europe|A/swan/Bavaria/25/2006|2006.200	Wild-ans	Europe	48.7904472	11.4978895
ACX48060|Wild-ans|Europe|A/Canada_goose/Bavaria/4/2007|2007.452	Wild-ans	Europe	48.7904472	11.4978895
ADB93866|Wild-ans|Europe|A/common_pochard/Switzerland/WV4080110/2008|2008.134	Wild-ans	Europe	46.818188	8.227512
