# BEAST v1.8.1, r6542
# Generated Mon Feb 16 10:25:11 GMT 2015 [seed=1424082293563]
state	posterior	prior	likelihood	treeModel.rootHeight	exponential.popSize	exponential.growthRate	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	clock.rate	CP1+2.treeLikelihood	CP3.treeLikelihood	coalescent
35000	-12163.477584256048	-388.00467325432726	-11775.472911001722	14.63310460630938	49.564870206575485	0.08559417973865738	8.031023003085101	12.838011448603538	0.3037632846116865	0.2096428946528319	0.20979883379271988	0.27679498694276156	0.15690712090674575	1.4734537588000016	0.5929015291907169	1.8141969416185662	0.0045408679374696675	-5221.159946104501	-6554.312964897221	-372.88890959655106
36000	-12151.8741823724	-386.98006958025405	-11764.894112792146	14.640957461124072	32.97377685758164	0.06961979690979794	8.031023003085101	12.838011448603538	0.3037632846116865	0.20546282574619226	0.2097481468435592	0.28102574279856185	0.15690712090674575	1.4734537588000016	0.5929015291907169	1.8141969416185662	0.0045542928037935	-5209.95559610828	-6554.938516683867	-372.44449849702227
37000	-12151.686491914765	-387.2352918427435	-11764.45120007202	14.640957461124072	40.37770102073165	0.07905786138890827	8.160062269546568	12.838011448603538	0.3033394558775381	0.2058866544803407	0.2163455275285651	0.274428362113556	0.15067292474543034	1.4734537588000016	0.549246730468261	1.901506539063478	0.004807608697809692	-5215.900503374685	-6548.550696697334	-372.3609127913651
38000	-12160.549119494242	-387.3634582902945	-11773.185661203948	14.099360321159972	34.15120415609479	0.07905786138890827	8.160062269546568	12.066769012661181	0.3033394558775381	0.20841471340271867	0.2138174686061871	0.274428362113556	0.14856604588764075	1.4734537588000016	0.6161030007276073	1.7677939985447855	0.004498955184088262	-5209.727240512051	-6563.458420691896	-372.80545886606797
39000	-12161.637650222585	-383.6444768968135	-11777.99317332577	14.146053404596087	49.510342026119325	0.10093332333131891	8.160062269546568	12.066769012661181	0.3033394558775381	0.20841471340271867	0.2138174686061871	0.274428362113556	0.14856604588764075	1.4734537588000016	0.5654721079049807	1.8690557841900386	0.00485580778426597	-5208.850746225755	-6569.142427100016	-368.4507255593873
40000	-12157.28703403367	-384.62168631382053	-11772.66534771985	14.207556493893854	35.29216201901415	0.08765877957469562	8.160062269546568	12.066769012661181	0.3033394558775381	0.20841471340271867	0.2138174686061871	0.274428362113556	0.14856604588764075	1.8043509452291262	0.6023299507650729	1.7953400984698542	0.004717082497320095	-5211.720991499838	-6560.944356220012	-369.26091001161865
41000	-12161.752507451292	-384.3622477337147	-11777.390259717578	14.688420366973205	45.917200735280204	0.08765877957469562	8.160062269546568	13.505254888827874	0.3033394558775381	0.20841471340271867	0.2138174686061871	0.274428362113556	0.14856604588764075	1.5996378499688202	0.5787995287944248	1.8424009424111505	0.004753605537801437	-5214.062714769385	-6563.3275449481935	-368.92062153663437
42000	-12161.486171274228	-384.07268797994027	-11777.413483294287	14.15813711874123	46.555225078603506	0.0872202487040167	7.581107473207856	12.484493318413266	0.3033394558775381	0.20841471340271867	0.2138174686061871	0.274428362113556	0.14856604588764075	1.5996378499688202	0.5882817328518718	1.8234365342962564	0.004917769329560914	-5212.4060380651445	-6565.007445229142	-368.88766122420276
43000	-12153.117738798697	-382.79917190234755	-11770.318566896349	13.971554632544962	37.78455027051163	0.07892664418604292	7.379451655937606	12.354071613753359	0.3032971705776204	0.20845699870263631	0.2138174686061871	0.274428362113556	0.16864462353677934	1.5996378499688202	0.5882817328518718	1.8234365342962564	0.004842545085066198	-5211.745048120071	-6558.5735187762775	-367.9452671741083
44000	-12146.972864773028	-376.878446380046	-11770.094418392982	13.747515806731514	25.521435097477323	0.03954989238387144	6.968033490862407	12.354071613753359	0.3104769126519271	0.20845699870263631	0.2138174686061871	0.26724862003924926	0.12998912038137825	1.8348743501009812	0.5882817328518718	1.8234365342962564	0.004903028144986551	-5217.0709676028055	-6553.023450790177	-362.5384033655114
45000	-12131.244341358455	-376.9993257040126	-11754.245015654442	13.804764718675411	21.777522021402845	0.023102831055302225	6.8035780098518535	12.354071613753359	0.3111592752716264	0.2003157462810186	0.22127635840810556	0.26724862003924926	0.17472855026645717	1.8348743501009812	0.5348604348188724	1.9302791303622553	0.004995289860324918	-5209.818163990743	-6544.4268516636985	-362.9353768412192
46000	-12139.319582285667	-378.4411895503635	-11760.878392735303	13.933045993714797	24.83785827158828	0.023102831055302225	6.821370421276034	12.354071613753359	0.3111592752716264	0.1956012703047322	0.22127635840810556	0.27196309601553564	0.146158955646302	1.8348743501009812	0.5707635802465401	1.8584728395069199	0.005076485435123988	-5206.38582698098	-6554.492565754324	-364.2893962300618
47000	-12143.607488674963	-376.4402461679564	-11767.167242507006	13.933045993714797	22.205495221626737	0.03991109888167635	6.821370421276034	12.354071613753359	0.3111592752716264	0.1956012703047322	0.2119290444110949	0.2813104100125463	0.146158955646302	1.7983225483299194	0.5439486162066858	1.9121027675866284	0.00521910885702094	-5208.723593005862	-6558.443649501143	-362.27290304847827
48000	-12140.657536625713	-374.1092475451946	-11766.548289080518	13.933045993714797	27.090673435155022	0.03991109888167635	6.821370421276034	12.354071613753359	0.3111592752716264	0.1956012703047322	0.2119290444110949	0.2813104100125463	0.146158955646302	1.6189198208350306	0.5439486162066858	1.9121027675866284	0.0052343491761810065	-5204.259350888402	-6562.288938192117	-360.09978285185485
49000	-12133.517716398019	-377.14513457526533	-11756.372581822754	13.960720049145138	23.068619135763402	-0.010021018933976306	7.502810416075237	12.354071613753359	0.3233027677006291	0.1956012703047322	0.21511111088148366	0.26598485111315484	0.1564708960871377	1.871976757674502	0.6155902645416444	1.768819470916711	0.0058025992792479445	-5210.4169184510265	-6545.955663371728	-362.8441149347059
50000	-12121.669959975983	-372.8622188346228	-11748.80774114136	13.137793700059989	16.06567706940933	0.005593810918344794	9.552750284547539	12.354071613753359	0.3233027677006291	0.1956012703047322	0.21511111088148366	0.26598485111315484	0.15595717409681867	1.871976757674502	0.5466509707848083	1.9066980584303834	0.0055393581017562235	-5198.855602183121	-6549.952138958239	-358.60377977249294
51000	-12125.438827917038	-371.22827206661924	-11754.210555850419	13.235913386153257	19.57307127472207	0.005593810918344794	9.552750284547539	12.354071613753359	0.3233027677006291	0.1956012703047322	0.2159850679686367	0.2651108940260018	0.15595717409681867	1.6292802536095443	0.5925875917769214	1.8148248164461571	0.005169610184301832	-5204.485032051508	-6549.72552379891	-357.31340285304833
52000	-12127.008250815341	-372.5941746178774	-11754.414076197463	13.235913386153257	18.72637210643475	0.005593810918344794	9.552750284547539	12.354071613753359	0.3204230328278139	0.19876061841921522	0.2085854303149402	0.2722309184380305	0.15595717409681867	2.1062966521642816	0.5466596532592736	1.9066806934814529	0.00549640303559331	-5209.642190014957	-6544.771886182505	-357.72109261844446
53000	-12120.09842416639	-371.72843464938416	-11748.369989517007	13.389393302825091	17.115649264832232	0.005593810918344794	9.552750284547539	14.513199677479019	0.3204230328278139	0.19876061841921522	0.2085854303149402	0.2722309184380305	0.15595717409681867	2.017061617243511	0.5725557944481766	1.8548884111036468	0.005415329000737694	-5205.518400960443	-6542.851588556565	-356.81143030593387
54000	-12123.408465521428	-373.79983714820736	-11749.60862837322	13.267982618409544	24.078422972715714	0.04536775880340507	9.552750284547539	13.298018483242107	0.3204230328278139	0.19563991009805679	0.21170613863609863	0.2722309184380305	0.15595717409681867	2.017061617243511	0.5368694925095561	1.9262610149808879	0.00529315817412918	-5198.02504673312	-6551.5835816401	-358.30679237324273
55000	-12127.162541167723	-368.3689961939666	-11758.793544973756	13.058373053374826	22.65671296231299	0.04475805868312191	9.552750284547539	13.298018483242107	0.3204230328278139	0.1960275251466035	0.21170613863609863	0.27184330338948376	0.15595717409681867	2.017061617243511	0.5910070425504359	1.8179859148991282	0.005557344412223992	-5203.8292650564	-6554.964279917355	-352.90159423086834
56000	-12136.379235784545	-369.7606977711769	-11766.618538013368	13.13195655379368	26.891730755707332	0.058328140683879065	9.095311939810884	13.298018483242107	0.3204230328278139	0.1960275251466035	0.21170613863609863	0.27184330338948376	0.15595717409681867	2.017061617243511	0.5439411562891805	1.912117687421639	0.005377090042278302	-5201.891303207686	-6564.727234805681	-354.09175361623033
57000	-12122.30767160045	-373.7424820346653	-11748.565189565785	13.2054059166665	21.832043381477934	0.056294526228318015	9.095311939810884	13.298018483242107	0.3298007561813793	0.1956488235303299	0.20270711689880686	0.27184330338948376	0.12969082268294135	1.8838065347926933	0.5698549584236654	1.8602900831526692	0.004990818427852787	-5204.637989216717	-6543.927200349068	-358.6739147105343
58000	-12119.027342931726	-370.69441855948753	-11748.332924372238	13.589792381711062	27.09376218684474	0.056294526228318015	9.095311939810884	13.298018483242107	0.3361262406144358	0.19060897958821574	0.1963816324657503	0.2768831473315979	0.13953348606376084	1.8838065347926933	0.5698549584236654	1.8602900831526692	0.005394342259732906	-5205.011755206353	-6543.321169165885	-355.33677064525784
