# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Jun 27 09:18:38 BST 2022 [seed=1656317905495]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa1	kappa2	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
30000	-42819.441978329654	-255.3523899789678	-42564.08958835069	0.7973827160742895	2021.6053570099532	20.192190184989283	57.21754150999299	7.390449210573548	2.6544186892387325	5.534040093193995	0.29886037517395947	0.1858545387702793	0.1958576293207562	0.3194274567350052	0.07340291642671597	4.1460737917493624E-4	4.146073791749366E-4	-42564.08958835069	0.0	-246.4170438355655
31000	-42805.45225079949	-256.04708842496467	-42549.405162374525	0.8972634143469116	2021.5054763116805	20.367566579555213	46.082335667905305	6.9647879067380725	3.68144301151215	5.532550239932136	0.2948753190526319	0.1858545387702793	0.19984268544208372	0.3194274567350052	0.07412812186257065	3.914171847381153E-4	3.9141718473811535E-4	-42549.405162374525	0.0	-247.38259520477135
32000	-42793.28980209309	-258.0351010575846	-42535.254701035505	0.8111603330230794	2021.5915793930044	19.649513142377515	24.649927872293027	5.43694122633534	2.800244551702291	5.929946518535017	0.2964167810029525	0.1858545387702793	0.19375219184218967	0.3239764883845787	0.08416172399884614	4.1246935025748035E-4	4.1246935025747976E-4	-42535.254701035505	0.0	-251.7169321720798
33000	-42775.77739740493	-256.94169324008317	-42518.83570416484	0.8869718304836003	2021.5157678955438	19.763209117866616	29.710074810845665	5.97568263146401	2.4609737411102395	5.31096426969578	0.29654277223002035	0.1858545387702793	0.19375219184218967	0.32385049715751085	0.0992187154609358	4.3284277599884506E-4	4.3284277599884473E-4	-42518.83570416484	0.0	-250.1673733206127
34000	-42764.02853557768	-258.6069896107303	-42505.42154596695	0.839828011263183	2021.5629117147644	20.286864275160898	33.59166154022324	6.236336284980373	3.019418156141872	5.852697798579457	0.29654277223002035	0.1797205834390836	0.19849515699394826	0.32524148733694797	0.07528739005162442	4.1836367726422164E-4	4.1836367726422153E-4	-42505.42154596695	0.0	-251.1421121896794
35000	-42754.381627665476	-253.11007827206217	-42501.271549393416	0.8313529922679088	2021.5713867337595	19.84589869759627	36.33602165521915	6.182579061597917	3.2434477983383103	6.189176079168833	0.29654277223002035	0.1839955543921135	0.1987370748456121	0.32072459853225427	0.05345304264916096	3.7467464042771924E-4	3.746746404277189E-4	-42501.271549393416	0.0	-245.47536941647314
36000	-42745.37372870694	-256.7255072231485	-42488.64822148379	0.8499281047606941	2021.5528116212668	20.072398317262763	49.40270260702801	6.802908473214722	2.7737359037055027	7.1784711645345345	0.30168221758584607	0.1846729758650752	0.19292020801682463	0.32072459853225427	0.1731739514649155	3.7228335272557124E-4	3.722833527255714E-4	-42488.64822148379	0.0	-247.85522255871783
37000	-42715.55465685067	-256.8018751243106	-42458.75278172636	0.8975899051666311	2021.5051498208609	20.04783952546458	54.88649630533799	7.422176635115015	2.15420329656631	5.3177316986752965	0.2999429518483014	0.17848438663658994	0.1991087972453099	0.32246386426979895	0.11437543300130183	3.647139498263123E-4	3.6471394982631267E-4	-42458.75278172636	0.0	-248.01317712138305
38000	-42685.785927932026	-244.0621991710225	-42441.723728761004	0.8188474144453137	2021.583892311582	18.519354606807465	38.0345316249122	6.852978159561619	2.431220636788457	5.204609070652303	0.29900369814727257	0.18202992321883288	0.19620458319248477	0.32276179544141	0.11497675709781206	3.9405397792447583E-4	3.940539779244755E-4	-42441.723728761004	0.0	-236.14941896986014
39000	-42669.48812975141	-239.97508401881345	-42429.513045732594	0.7548460767146978	2021.6478936493127	18.194056753721433	38.277252039869	7.164693664365566	2.5754622147259267	5.333172272905864	0.29757175699333077	0.18202992321883288	0.19620458319248477	0.3241937365953518	0.08689204244926423	3.979533624899362E-4	3.9795336248993633E-4	-42429.513045732594	0.0	-231.7134337404351
40000	-42683.09313164315	-236.41621730002402	-42446.67691434313	0.7374273989791317	2021.6653123270482	17.619854320974913	69.70656308798053	8.926129841902794	3.4748913475413565	6.627460038339006	0.3001345664744943	0.18202992321883288	0.19364177371132124	0.3241937365953518	0.05568542878348192	4.4546926047718305E-4	4.4546926047718316E-4	-42446.67691434313	0.0	-225.23958620785146
41000	-42659.378337212154	-235.8138250661308	-42423.564512146026	0.7392915275412955	2021.663448198486	17.889721533665426	61.912869800205314	8.794522525969132	3.852138926417779	7.7378529219369545	0.3001345664744943	0.1836612053679292	0.1920104915622249	0.3241937365953518	0.0757873843517974	4.11864130420036E-4	4.1186413042003606E-4	-42423.564512146026	0.0	-224.45436711567953
42000	-42651.9422357643	-234.8857999046917	-42417.05643585961	0.6973178068301702	2021.7054219191973	17.20889350642544	47.75925055161244	8.25833766878281	3.3948630875348433	6.6723647382541245	0.29496121762195493	0.18493828433653225	0.19332984313226317	0.3267706549092499	0.12308075762999537	3.868543605194008E-4	3.868543605194012E-4	-42417.05643585961	0.0	-224.6022393598393
43000	-42651.87678101697	-231.11333755510944	-42420.76344346186	0.7540117753470119	2021.6487279506805	17.194902868125332	32.15737099383486	7.126070861287348	2.62749843941869	6.610440343376063	0.29875649695389667	0.17996413837954806	0.19332984313226317	0.32794952153429235	0.13500998013751747	4.888103170678775E-4	4.888103170678777E-4	-42420.76344346186	0.0	-222.6773579247055
44000	-42635.674476872504	-229.47040817821633	-42406.204068694286	0.7281993831385892	2021.6745403428888	17.194232585624903	57.97344952944562	8.443653558273008	1.9723568181028337	4.9419798433703575	0.29875649695389667	0.18240579517512343	0.19332984313226317	0.32550786473871696	0.11075736045351671	4.2611695546550753E-4	4.261169554655078E-4	-42406.204068694286	0.0	-219.82548469395232
45000	-42628.216720862656	-230.74447423526428	-42397.47224662739	0.8069724593553953	2021.595767266672	17.299129803278447	52.00024813624136	8.486283953227828	2.3997256937805345	5.127670428906413	0.2987524769277001	0.18240579517512343	0.19582638951584172	0.323015338381335	0.07483702699175147	4.0964575259037705E-4	4.096457525903771E-4	-42397.47224662739	0.0	-221.0083065359132
46000	-42623.63871178505	-227.17326235374412	-42396.46544943131	0.6638737985254538	2021.738865927502	16.75172730472532	85.09039492752527	9.933780045712657	2.3368788299569623	6.739455700879818	0.2972441804782502	0.18391409162457328	0.19582638951584172	0.323015338381335	0.018307673511277284	4.55002412737282E-4	4.550024127372823E-4	-42396.46544943131	0.0	-215.25188160380318
47000	-42618.775036596984	-230.31048638755595	-42388.46455020943	0.6681160467196254	2021.7346236793078	16.884272222172314	61.75089264217497	9.22153304608113	2.800863003792529	5.068826769119924	0.30086338712488014	0.1851749384126548	0.19582638951584172	0.3181352849466235	0.014177071335819089	4.6953595419718447E-4	4.6953595419718414E-4	-42388.46455020943	0.0	-219.68839206222128
48000	-42620.17643303065	-229.3617273158493	-42390.814705714794	0.6693456734156426	2021.7333940526119	16.831390001125325	96.26320508938507	10.067472010233315	3.51171777227945	7.732448211541123	0.29188368655806485	0.1851749384126548	0.1925605419124665	0.33038083311681404	0.010877024571355372	4.6720877961113595E-4	4.672087796111361E-4	-42390.814705714794	0.0	-216.56039541124565
49000	-42604.87863357726	-220.12723004326062	-42384.751403534	0.646296600150444	2021.756443125877	16.103787664244432	62.11087206573635	9.320085778237848	2.478002493826768	5.749342924864846	0.2978499892915246	0.18682397844916812	0.1925605419124665	0.322765490346841	0.020434478682735832	4.8382312505667246E-4	4.8382312505667246E-4	-42384.751403534	0.0	-209.33446029969107
50000	-42606.02722381721	-222.002387256157	-42384.02483656105	0.6839798192057267	2021.7187599068218	15.548519501871446	91.12284158118638	10.320427371742644	2.9138406156404386	6.7934046066068605	0.2995834693397759	0.1808597279997288	0.19902942418180192	0.3205273784786936	0.01648536784119447	4.564755473214814E-4	4.564755473214817E-4	-42384.02483656105	0.0	-209.40279846209987
51000	-42589.98395476797	-212.09048483101736	-42377.89346993696	0.6289998723785477	2021.773739853649	14.833900070651852	110.32170262995942	11.410901257018573	1.6200462327457106	5.9155023900068455	0.2995834693397759	0.1808597279997288	0.19385822096463243	0.32569858169586313	0.014230962464965911	5.25878698740203E-4	5.258786987402023E-4	-42377.89346993696	0.0	-198.96526714579585
